Ref,Val,Package,PosX,PosY,Rot,Side
"R27","22","R_0402_1005Metric",24.335000,11.300000,0.000000,top
"R28","22","R_0402_1005Metric",26.480000,27.110000,90.000000,top
"R29","10k","R_0402_1005Metric",27.800000,8.150000,90.000000,top
"R32","10k","R_0402_1005Metric",1.660000,23.110000,0.000000,top
"R33","10k","R_0402_1005Metric",3.590000,23.090000,0.000000,top
"R34","22","R_0402_1005Metric",18.700000,14.600000,180.000000,top
"R35","22","R_0402_1005Metric",17.250000,11.400000,-90.000000,top
"R36","10k","R_0402_1005Metric",2.960000,20.510000,90.000000,top
"R42","10k","R_0402_1005Metric",5.300000,16.800000,-90.000000,top
"R43","10k","R_0402_1005Metric",0.960000,20.510000,90.000000,top
"SW1","SW_Push","SW_SPST_EVQP2",4.550000,30.800000,180.000000,top
"U1","ADXL345","LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y",6.600000,12.050000,0.000000,top
"U2","TMC2209-LA","TMC22xx_QFN",28.387800,16.375200,-90.000000,top
"U3","ATSAMD21E15B-M","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm",13.800000,20.000000,0.000000,top
"U4","HT7550-1-SOT89","SOT-89-3",20.450000,29.775000,90.000000,top
"U5","XC6206PxxxMR","SOT-23",21.100000,25.450000,0.000000,top
"Y1","32k","Crystal_SMD_3215-2Pin_3.2x1.5mm",8.950000,22.550000,90.000000,top
